Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
2,-0.9523894433829583,-0.9473598877173399,0.06818514034143007,0.28219975602413067,-1.6959837443286894,0
1,-0.9023934097553371,-0.8799590021118113,-0.7294715051501507,0.6333080199205777,-1.6488517007812828,0
1,-0.9523894433829583,-1.014760773322907,-0.2274498401554495,0.9442896250860024,-1.6174303384163453,0
1,-0.9023934097553371,-0.9473598877173399,-0.5900210426516226,-0.04884517850680491,-1.5860089760514078,0
1,-0.9023934097553371,-0.8799590021118113,-0.7294715051501507,0.0013131449069732513,-1.55458761368647,0
2,-0.9523894433829583,-0.9473598877173399,-0.6346451906511515,0.1919147738793301,-1.5231662513215325,0
1,-0.9523894433829583,-0.9473598877173399,0.10723126984101794,0.24207309729310825,-1.4760342077741262,0
1,-0.9523894433829583,-0.9473598877173399,-0.0656873036571569,0.021376474272484798,-1.4446128454091884,0
2,-0.8523973761276875,-0.8799590021118113,0.7152352863346004,-1.1422966289271685,-1.413191483044251,0
2,-0.7524053088724167,-0.6777563452951486,1.1280086553302437,-1.2024866170237025,-1.3660594394968446,0
0,-0.8024013425000663,-0.7451572309007156,1.3567074138278297,-1.6137848690166836,-1.318927395949438,0
0,-0.7024092752447672,-0.6103554596895817,-0.6458012276510338,0.4326747262654651,-1.240373990037094,0
2,-0.7024092752447672,-0.6103554596895817,-1.1143547816460881,1.1148279246928485,-1.1618205841247502,0
2,-0.7024092752447672,-0.542954574084053,1.1335866738301847,-1.0018533233685898,-1.1146885405773437,0
1,-0.7024092752447672,-0.542954574084053,2.767946094312934,-2.0451464503751753,-1.0675564970299374,0
1,-0.7024092752447672,-0.542954574084053,0.017982973841959956,0.8439729782584461,-1.0361351346649996,0
2,-0.7024092752447672,-0.542954574084053,-1.2705392996444398,0.663403013968845,-1.004713772300062,0
2,-0.652413241617146,-0.542954574084053,-0.7183154681502684,0.5630863671412888,-0.9575817287526557,0
0,-0.6024172079894964,-0.542954574084053,-1.2984293921441452,1.4559045239065398,-0.9104496852052493,0
2,-0.5524211743618752,-0.47555368847848606,0.5200046388366611,-0.7510617062996991,-0.8318962792929053,0
0,-0.5524211743618752,-0.47555368847848606,-0.9135461156482078,0.2721680913413756,-0.7847642357454989,0
1,-0.6024172079894964,-0.47555368847848606,-0.49519472815262344,0.4828330496792433,-0.7062108298331549,0
2,-0.5524211743618752,-0.47555368847848606,0.2355256953396638,-0.9316316705893005,-0.6747894674682173,0
1,-0.5024251407342256,-0.4081528028729574,1.2228349698292427,-1.4332149047270821,-0.6276574239208109,0
2,-0.5024251407342256,-0.4081528028729574,0.12396532534084131,-0.26954180152742907,-0.5962360615558733,0
1,-0.5024251407342256,-0.3407519172673904,1.7973708753231785,-1.6739748571132171,-0.5491040180084669,0
1,-0.452429107106576,-0.3407519172673904,-0.14935758115627376,-0.09900350192058306,-0.5176826556435293,0
0,-0.452429107106576,-0.4081528028729574,1.5184699503261223,-1.5435632162373938,-0.48626129327859174,0
1,-0.452429107106576,-0.4081528028729574,-0.5565529316519758,0.42264306158271003,-0.40770788736624775,0
1,-0.5024251407342256,-0.4081528028729574,0.8602637673330696,-0.991821658685834,-0.3762865250013101,0
2,-0.452429107106576,-0.3407519172673904,-1.1143547816460881,0.8239096488929353,-0.3448651626363725,0
1,-0.5024251407342256,-0.4081528028729574,1.4459557098268878,-1.4532782340925934,-0.2977331190889661,0
1,-0.5024251407342256,-0.4081528028729574,-0.6681133016507983,0.8339413135756903,-0.2663117567240285,0
1,-0.5524211743618752,-0.47555368847848606,0.7040792493347182,-0.7510617062996991,-0.23489039435909093,0
2,-0.6024172079894964,-0.6103554596895817,0.11280928834095906,-0.530365083279075,-0.2034690319941533,0
2,-0.6024172079894964,-0.542954574084053,-0.48403869115274123,0.8640363076239577,-0.15633698844674693,0
2,-0.5524211743618752,-0.542954574084053,0.2355256953396638,-0.32973178962396227,-0.10920494489934052,0
1,-0.6024172079894964,-0.6103554596895817,-0.5565529316519758,-0.07894017255507152,-0.06207290135193413,0
0,-0.5524211743618752,-0.542954574084053,-0.8912340416484432,1.074701265961826,-0.030651538986996525,0
1,-0.6024172079894964,-0.6103554596895817,-1.0529965781467359,1.255271230251427,0.047901866925347474,0
1,-0.6024172079894964,-0.6103554596895817,-0.9860603561474424,0.5430230377757772,0.07932322929028507,0
1,-0.6024172079894964,-0.6103554596895817,-0.9525922451477956,1.0847329306445812,0.11074459165522267,0
2,-0.6024172079894964,-0.6103554596895817,-0.9525922451477956,0.9141946310377358,0.14216595402016027,0
0,-0.6024172079894964,-0.542954574084053,-0.9302801711480311,0.8540046429412019,0.18929799756756668,0
2,-0.6024172079894964,-0.6103554596895817,-0.3724783211539187,0.7536879961136456,0.26785140347991065,0
1,-0.6024172079894964,-0.6103554596895817,-0.2776520066549196,0.9141946310377358,0.31498344702731707,0
2,-0.652413241617146,-0.6777563452951486,1.6969665423242384,-1.4231832400443263,0.34640480939225465,0
1,-0.6024172079894964,-0.6103554596895817,-0.6736913201507394,0.6333080199205777,0.39353685293966106,0
0,-0.6024172079894964,-0.542954574084053,-0.6346451906511515,1.3957145358100058,0.42495821530459865,0
2,-0.5524211743618752,-0.542954574084053,-0.7071594311503862,0.4126113968999543,0.5035116212169427,0
1,-0.5524211743618752,-0.6103554596895817,7.3753893752643025,-3.54989615278852,0.5506436647643491,1
1,-0.5524211743618752,-0.6103554596895817,-0.8689219676486788,1.496031182637562,0.5820650271292866,0
0,-0.6024172079894964,-0.6777563452951486,-0.23302785865539064,0.382516402851687,0.6134863894942243,0
1,-0.652413241617146,-0.6777563452951486,0.1462773993406058,-0.49023842454805255,0.6920397954065682,0
1,-0.652413241617146,-0.6777563452951486,0.8491077303331874,-0.991821658685834,0.7234611577715059,0
1,-0.6024172079894964,-0.6103554596895817,-0.14935758115627376,0.07153479768626296,0.7548825201364434,0
1,-0.6024172079894964,-0.6103554596895817,-0.3445882286542131,0.24207309729310825,0.7863038825013811,0
1,-0.6024172079894964,-0.6103554596895817,-0.14377956265633265,0.03140813895523986,0.8177252448663187,0
2,-0.6024172079894964,-0.6777563452951486,0.6817671753349537,-1.0520116467823681,0.8491466072312562,0
1,-0.6024172079894964,-0.6103554596895817,-0.8968120601483844,1.445872859223784,0.8962786507786626,0
1,-0.6024172079894964,-0.6103554596895817,-0.8131417826492675,1.265302894934183,0.9277000131436003,0
2,-0.6024172079894964,-0.6777563452951486,0.29688389883901617,-0.17925681938262783,0.9591213755085378,0
1,-0.6024172079894964,-0.6777563452951486,1.6188742833250624,-1.7141015158442399,1.0062534190559442,0
2,-0.5524211743618752,-0.6777563452951486,1.5240479688260635,-1.4131515753615709,1.0376747814208818,0
1,-0.5024251407342256,-0.6103554596895817,-0.0879993776569214,-0.13913016065160544,1.0848068249682883,0
1,-0.5024251407342256,-0.6103554596895817,-0.8075637641493264,0.5129280437275106,1.1162281873332258,0
2,-0.5524211743618752,-0.7451572309007156,0.7821715083338939,-1.1322649642444131,1.1476495496981634,0
0,-0.6024172079894964,-0.7451572309007156,-0.40594643215356546,0.4126113968999543,1.1947815932455699,0
1,-0.6024172079894964,-0.7451572309007156,-0.0656873036571569,-0.7610933709824549,1.273334999157914,0
1,-0.5524211743618752,-0.6777563452951486,-0.7183154681502684,2.5794509683751707,1.3047563615228515,1
2,-0.5524211743618752,-0.6777563452951486,2.1487860408194694,-1.7441965098925065,1.336177723887789,0
1,-0.5524211743618752,-0.6103554596895817,-0.48403869115274123,0.5530547024585329,1.3833097674351955,0
1,-0.5524211743618752,-0.6103554596895817,-0.9470142266478545,0.4427063909482209,1.414731129800133,0
1,-0.5024251407342256,-0.6103554596895817,0.29688389883901617,-0.5002700892308083,1.4461524921650706,0
1,-0.5524211743618752,-0.6777563452951486,0.3470860653384863,-0.7711250356652106,1.4775738545300083,0
1,-0.6024172079894964,-0.7451572309007156,-0.8912340416484432,0.6734346786516008,1.5089952168949459,0
1,-0.6024172079894964,-0.7451572309007156,-0.4338365246532711,0.793814654844668,1.5404165792598834,0
1,-0.6024172079894964,-0.7451572309007156,-0.46730463565291785,0.13172478578279617,1.5718379416248212,1
1,-0.6024172079894964,-0.7451572309007156,-0.7852516901495619,1.1549545834238708,-1.6959837443286894,0
1,-0.6024172079894964,-0.7451572309007156,-0.7629396161497974,-0.20935181343089515,-1.6645623819637516,0
0,-0.6024172079894964,-0.8125581165062443,-0.5230848206523291,0.9944479484997806,-1.633141019598814,0
1,-0.5524211743618752,-0.7451572309007156,-0.49519472815262344,0.7536879961136456,-1.55458761368647,0
1,-0.5524211743618752,-0.7451572309007156,-0.47846067265280007,0.08156646236901802,-1.5231662513215325,0
1,-0.5024251407342256,-0.6777563452951486,-0.3892123766537421,0.011344809589729025,-1.491744888956595,0
1,-0.5524211743618752,-0.7451572309007156,-0.651379246150975,0.7637196607964014,-1.4603235265916572,0
2,-0.5024251407342256,-0.6777563452951486,1.4794238208265345,-1.32286659321677,-1.4289021642267197,0
0,-0.5024251407342256,-0.6777563452951486,-0.5732869871517992,0.3925480675344427,-1.3817701206793134,0
1,-0.5024251407342256,-0.6777563452951486,0.029139010841842203,-0.8212833590789884,-1.3032167147669693,0
2,-0.5024251407342256,-0.6777563452951486,-0.6681133016507983,0.5229597084102664,-1.2717953524020318,0
2,-0.5524211743618752,-0.7451572309007156,-0.2888080436548019,-0.04884517850680491,-1.2246633088546253,0
1,-0.5524211743618752,-0.7451572309007156,1.194944877329537,-1.4231832400443263,-1.177531265307219,0
1,-0.5524211743618752,-0.7451572309007156,1.6244523018250037,-1.5134682221891271,-1.1461099029422812,0
2,-0.5524211743618752,-0.7451572309007156,1.0499163963310678,-1.2927715991685031,-1.1146885405773437,0
1,-0.452429107106576,-0.6777563452951486,-0.49519472815262344,0.3022630853896422,-1.0675564970299374,0
1,-0.5024251407342256,-0.7451572309007156,0.46422445383724986,-0.811251694396233,-1.0361351346649996,0
2,-0.5024251407342256,-0.6777563452951486,-1.0474185596467946,1.2251762362031606,-1.004713772300062,0
2,-0.5024251407342256,-0.6777563452951486,0.20205758434001705,-0.4701750951825417,-0.9575817287526557,0
2,-0.5524211743618752,-0.7451572309007156,1.1782108218297138,-1.0118849880513456,-0.9104496852052493,0
1,-0.5524211743618752,-0.8125581165062443,-0.05453126665727466,-0.7309983769341876,-0.8633176416578429,0
1,-0.6024172079894964,-0.8125581165062443,-0.0879993776569214,0.4427063909482209,-0.8318962792929053,0
1,-0.6024172079894964,-0.7451572309007156,1.7471687088237084,-1.5034365575063715,-0.8004749169279677,0
1,-0.6024172079894964,-0.8125581165062443,2.5225132803155246,-1.9347981388648636,-0.7690535545630302,0
1,-0.6024172079894964,-0.8125581165062443,0.09049721434119457,0.06150313300350718,-0.7376321921980925,0
2,-0.6024172079894964,-0.8125581165062443,-0.5453968946520936,0.05147146832075141,-0.7062108298331549,0
1,-0.6024172079894964,-0.8799590021118113,-0.49519472815262344,0.3423897441206646,-0.6590787862857486,0
1,-0.6024172079894964,-0.8799590021118113,0.291305880339075,-0.8915050118582778,-0.6276574239208109,0
1,-0.6024172079894964,-0.8799590021118113,-0.5230848206523291,0.8540046429412019,-0.5962360615558733,0
2,-0.6024172079894964,-0.8125581165062443,-0.23302785865539064,0.6834663433343559,-0.5648146991909357,0
0,-0.5524211743618752,-0.8125581165062443,0.45864643533730876,-0.7309983769341876,-0.5176826556435293,0
1,-0.5524211743618752,-0.8799590021118113,0.18532352884019368,-0.5905550713756088,-0.43912924973118533,0
1,-0.6024172079894964,-0.9473598877173399,1.8587290788225308,-1.7542281745752621,-0.40770788736624775,0
0,-0.652413241617146,-0.9473598877173399,-0.22187182165550837,0.3524214088034203,-0.3762865250013101,0
2,-0.6024172079894964,-0.8799590021118113,-0.2274498401554495,-0.04884517850680491,-0.2977331190889661,0
2,-0.6024172079894964,-0.9473598877173399,-0.294386062154743,0.1919147738793301,-0.25060107554155975,0
1,-0.6024172079894964,-0.9473598877173399,0.787749526833835,-1.0620433114651238,-0.2034690319941533,0
1,-0.6024172079894964,-0.9473598877173399,-0.6011770796515048,0.5731180318240445,-0.17204766962921572,0
1,-0.5524211743618752,-0.8799590021118113,0.1406993808406647,-0.5905550713756088,-0.14062630726427813,0
1,-0.6024172079894964,-0.9473598877173399,0.335930028338604,-0.7009033828859209,-0.10920494489934052,0
2,-0.6024172079894964,-0.9473598877173399,0.9383560263322455,-1.1924549523409467,-0.07778358253440293,0
1,-0.652413241617146,-1.014760773322907,-0.40036841365362436,0.07153479768626296,-0.030651538986996525,0
1,-0.5524211743618752,-0.8799590021118113,-0.5900210426516226,0.4728013849964882,0.0007698233779410748,0
1,-0.5524211743618752,-0.8799590021118113,0.10723126984101794,0.12169312110004112,0.03219118574287867,0
1,-0.5024251407342256,-0.8125581165062443,-1.2761173181443808,1.074701265961826,0.06361254810781627,0
1,-0.5524211743618752,-0.8799590021118113,0.04029504784172445,0.3423897441206646,0.09503391047275388,0
1,-0.5524211743618752,-0.8799590021118113,1.0499163963310678,-1.0620433114651238,0.12645527283769148,0
1,-0.5524211743618752,-0.9473598877173399,0.11838730684090018,-0.7811567003479657,0.15787663520262907,0
1,-0.5024251407342256,-0.9473598877173399,-1.1701349666454994,2.0578044048718778,0.18929799756756668,0
1,-0.5524211743618752,-0.9473598877173399,-0.701581412650445,0.6533713492860893,0.22071935993250427,0
1,-0.5024251407342256,-0.9473598877173399,0.2689938063393105,-0.13913016065160544,0.2521407222974419,0
1,-0.5524211743618752,-1.014760773322907,0.11280928834095906,-0.570491742010098,0.2835620846623795,0
1,-0.6024172079894964,-1.082161658928474,-0.3669003026539776,0.11166145641728534,0.31498344702731707,0
1,-0.6024172079894964,-1.082161658928474,1.105696581330479,-1.2325816110719694,0.34640480939225465,0
2,-0.652413241617146,-1.082161658928474,-0.5453968946520936,0.3223264147551537,0.37782617175719224,0
2,-0.652413241617146,-1.082161658928474,-0.6067550981514459,0.964352954451514,0.42495821530459865,0
1,-0.6024172079894964,-1.082161658928474,-0.9470142266478545,1.3054295536652054,0.47209025885200506,0
2,-0.6024172079894964,-1.014760773322907,0.9606681003320099,-1.1523282936099244,0.5035116212169427,0
0,-0.652413241617146,-1.014760773322907,-0.6625352831508572,0.5731180318240445,0.5506436647643491,0
1,-0.652413241617146,-0.9473598877173399,-1.3486315586436155,1.5361578413685846,0.6291970706766931,0
0,-0.6024172079894964,-0.9473598877173399,-0.5007727466525645,0.9442896250860024,0.6606184330416307,0
1,-0.6024172079894964,-0.9473598877173399,-1.510394095141908,1.5863161647823627,0.7391718389539746,0
1,-0.6024172079894964,-0.9473598877173399,-0.1549355996562149,-0.38992177772049624,0.7705932013189123,0
1,-0.652413241617146,-1.014760773322907,0.029139010841842203,-0.48020675986529676,0.8020145636838498,0
2,-0.7024092752447672,-1.082161658928474,1.3343953398280652,-1.1824232876581913,0.8334359260487875,0
0,-0.7024092752447672,-1.082161658928474,-0.7350495236500918,1.0546379365963146,0.8805679695961939,0
2,-0.7024092752447672,-1.082161658928474,-0.8242978196491497,0.24207309729310825,0.9591213755085378,0
1,-0.7524053088724167,-1.082161658928474,-0.14377956265633265,-0.640713394789387,1.0062534190559442,0
0,-0.7524053088724167,-1.082161658928474,0.40844426883783863,-0.38992177772049624,1.0376747814208818,0
1,-0.8024013425000663,-1.082161658928474,-0.1326235256564504,0.011344809589729025,1.1162281873332258,0
2,-0.8523973761276875,-1.1495625445340025,-0.8912340416484432,0.8038463195274238,1.1476495496981634,0
1,-0.8024013425000663,-1.1495625445340025,-0.3669003026539776,-0.008718519775782523,1.1947815932455699,0
1,-0.8024013425000663,-1.1495625445340025,-0.651379246150975,0.2721680913413756,1.2262029556105074,0
2,-0.8024013425000663,-1.2169634301395695,-0.42268048765338884,-0.23944680747916175,1.2576243179754452,0
2,-0.8024013425000663,-1.2169634301395695,0.25225975083948715,0.10162979173452956,1.3047563615228515,0
1,-0.8024013425000663,-1.2169634301395695,1.7360126718238262,-1.3028032638512588,1.3518884050702578,0
1,-0.8024013425000663,-1.2169634301395695,-0.06010928515721578,-0.37989011303774045,1.3833097674351955,0
0,-0.8024013425000663,-1.2169634301395695,2.50020120631576,-2.025083121009664,1.414731129800133,0
2,-0.8024013425000663,-1.2843643157450981,-0.24418389565527288,0.6032130258723112,1.493284535712477,0
0,-0.8024013425000663,-1.2169634301395695,-0.33901021015427196,0.3524214088034203,1.5404165792598834,0
